Filename,Misplaced_Items,Syntax_Structure,Package_Errors,Total_Critical_Errors,Warnings,Status
2023_emnlp-main_156.tex,0,125,1,103,0,FAILED
2023_emnlp-main_124.tex,0,25,1,2,0,TIMEOUT
2023_emnlp-main_638.tex,0,24,2,4,0,FAILED
2023_emnlp-main_228.tex,0,289,3,5,0,FAILED
2023_emnlp-main_238.tex,52,500,38,149,1,FAILED
2023_emnlp-main_260.tex,2,31,1,12,72,FAILED
2024_emnlp-main_293.tex,0,24,1,1,124,FAILED
2023_emnlp-main147.tex,32,31,1,40,56,TIMEOUT
2024_emnlp-main_1025.tex,0,24,2,4,0,FAILED
2024_emnlp-main_1026.tex,0,28,2,2,0,TIMEOUT
2024_emnlp-main_1055.tex,0,27,2,4,0,FAILED
2024_emnlp-main_1067.tex,7,42,2,23,0,TIMEOUT
2024_emnlp-main_1069.tex,0,25,1,2,61,TIMEOUT
2024_emnlp-main_1088.tex,48,83,1,113,1,FAILED
2024_emnlp-main_1127.tex,122,31,1,131,9,FAILED
2024_emnlp-main_1156.tex,0,27,2,4,0,FAILED
PrimacyEffectOfChatGPT.tex,0,82,2,6,30,TIMEOUT
2024_emnlp-main_302.tex,0,193,3,6,43,TIMEOUT
2024_emnlp-main_324.tex,309,37,1,323,55,TIMEOUT
2024_emnlp-main_336.tex,0,92,4,8,0,FAILED
2024_emnlp-main_339.tex,0,27,2,4,0,FAILED
2024_emnlp-main_362.tex,0,24,2,2,21,TIMEOUT
2024_emnlp-main_431.tex,0,24,1,2,0,FAILED
2024_emnlp-main_445.tex,0,122,1,102,0,FAILED
2024_emnlp-main_508.tex,1,27,1,2,44,TIMEOUT
2024_emnlp-main_524.tex,12,321,2,22,95,FAILED
2024_emnlp-main_553.tex,0,24,1,1,29,TIMEOUT
2024_emnlp-main_614.tex,0,25,2,5,0,FAILED
2024_emnlp-main_635.tex,0,24,1,1,45,TIMEOUT
2024_emnlp-main_663.tex,0,28,3,5,0,FAILED
2024_emnlp-main_672.tex,0,24,1,1,0,TIMEOUT
2024_emnlp-main_701.tex,0,25,1,4,33,FAILED
2024_emnlp-main_704.tex,0,24,1,1,18,TIMEOUT
2024_emnlp-main_730.tex,2,898,6,17,58,TIMEOUT
2024_emnlp-main_733.tex,86,73,1,138,48,TIMEOUT
2024_emnlp-main_767.tex,0,24,2,2,0,FAILED
2024_emnlp-main_773.tex,0,25,2,5,0,FAILED
2024_emnlp-main_830.tex,0,24,1,1,34,TIMEOUT
2024_emnlp-main_831.tex,0,24,2,4,0,FAILED
2024_emnlp-main_869.tex,23,33,1,35,0,FAILED
2024_emnlp-main_882.tex,0,26,1,3,0,FAILED
2024_emnlp-main_888.tex,2,31,1,10,0,FAILED
2024_emnlp-main_915.tex,0,122,1,102,0,FAILED
2024_emnlp-main_924.tex,1,25,1,3,0,FAILED
2024_emnlp-main_942.tex,0,28,14,18,1,TIMEOUT
2024_emnlp-main_991.tex,0,24,1,1,0,TIMEOUT
2024_emnlp-main_1022.tex,0,24,1,1,0,TIMEOUT
T5ModelsForAfricanLanguages.tex,87,364,10,109,15,TIMEOUT
2023_emnlp-main_118.tex,0,0,0,0,3,TIMEOUT
EstablishingTrustworthiness.tex,0,157,2,2,92,FAILED
