Filename,Misplaced_Items,Syntax_Structure,Package_Errors,Total_Critical_Errors,Warnings,Status
2023_emnlp-main_124.tex,0,24,1,1,0,FAILED
2023_emnlp-main_638.tex,0,24,1,2,1,FAILED
2024_emnlp-main_147.tex,0,29,1,6,60,FAILED
2024_emnlp-main_1025.tex,0,25,3,4,2,FAILED
2024_emnlp-main_1026.tex,0,24,1,1,0,FAILED
2024_emnlp-main_1055.tex,0,26,1,4,0,TIMEOUT
2024_emnlp-main_1067.tex,0,24,1,1,0,FAILED
2024_emnlp-main_1069.tex,0,24,1,1,1,FAILED
2024_emnlp-main_1088.tex,0,50,1,27,1,FAILED
2024_emnlp-main_1127.tex,0,24,1,1,0,FAILED
2024_emnlp-main_1156.tex,0,31,1,8,0,FAILED
PrimacyEffectOfChatGPT.tex,0,24,1,1,0,FAILED
2024_emnlp-main_156.tex,0,28,1,5,0,FAILED
2024_emnlp-main_228.tex,0,24,1,4,4,FAILED
2024_emnlp-main_238.tex,0,24,1,1,0,FAILED
2024_emnlp-main_260.tex,0,43,1,21,76,FAILED
2024_emnlp-main_293.tex,0,24,1,1,0,FAILED
2024_emnlp-main_302.tex,0,24,1,5,46,FAILED
2024_emnlp-main_324.tex,0,24,1,1,2,FAILED
2024_emnlp-main_336.tex,0,24,1,3,3,FAILED
2024_emnlp-main_339.tex,0,25,1,2,5,FAILED
2024_emnlp-main_362.tex,0,24,1,1,2,FAILED
2024_emnlp-main_431.tex,0,25,1,7,6,FAILED
2024_emnlp-main_445.tex,0,24,1,1,4,FAILED
2024_emnlp-main_508.tex,0,24,3,3,0,FAILED
2024_emnlp-main_524.tex,0,24,1,2,3,FAILED
2024_emnlp-main_553.tex,0,24,1,1,0,TIMEOUT
2024_emnlp-main_614.tex,0,24,1,1,66,TIMEOUT
2024_emnlp-main_635.tex,0,29,1,6,0,TIMEOUT
2024_emnlp-main_663.tex,0,24,1,1,1,TIMEOUT
2024_emnlp-main_672.tex,0,24,1,1,0,FAILED
2024_emnlp-main_701.tex,0,26,1,3,64,FAILED
2024_emnlp-main_704.tex,0,35,1,12,2,FAILED
2024_emnlp-main_730.tex,0,32,1,11,66,FAILED
2024_emnlp-main_733.tex,0,44,1,21,1,TIMEOUT
2024_emnlp-main_767.tex,0,24,1,1,8,FAILED
2024_emnlp-main_773.tex,0,112,1,89,1,FAILED
2024_emnlp-main_830.tex,0,24,1,2,3,FAILED
2024_emnlp-main_831.tex,0,77,1,57,3,FAILED
2024_emnlp-main_869.tex,0,30,1,7,0,FAILED
2024_emnlp-main_882.tex,0,24,1,1,0,FAILED
2024_emnlp-main_888.tex,0,48,1,25,4,FAILED
2024_emnlp-main_915.tex,0,25,6,6,12,FAILED
2024_emnlp-main_924.tex,0,24,1,1,1,FAILED
2024_emnlp-main_942.tex,0,24,106,107,1,FAILED
2024_emnlp-main_991.tex,0,24,1,1,0,FAILED
2024_emnlp-main_1022.tex,0,98,84,159,155,FAILED
T5ModelsForAfricanLanguages.tex,0,28,3,7,0,FAILED
2023_emnlp-main_118.tex,0,24,1,1,0,FAILED
EstablishingTrustworthiness.tex,0,24,2,2,0,FAILED
