Filename,Misplaced_Items,Syntax_Structure,Package_Errors,Total_Critical_Errors,Warnings,Status
2023_emnlp-main_124.tex,48,93,3,124,1,FAILED
2023_emnlp-main_638.tex,0,24,1,2,0,FAILED
2024_emnlp-main_147.tex,0,24,3,3,0,TIMEOUT
2024_emnlp-main_1025.tex,47,82,1,109,1,FAILED
2024_emnlp-main_1055.tex,48,82,1,110,1,FAILED
2024_emnlp-main_1067.tex,55,81,1,121,74,FAILED
2024_emnlp-main_1069.tex,0,25,1,4,0,TIMEOUT
2024_emnlp-main_1088.tex,49,83,1,110,1,FAILED
2024_emnlp-main_1127.tex,170,33,1,185,1,FAILED
2024_emnlp-main_1156.tex,0,27,1,4,1,TIMEOUT
PrimacyEffectOfChatGPT.tex,0,25,1,2,0,TIMEOUT
2024_emnlp-main_156.tex,0,125,1,103,0,FAILED
2024_emnlp-main_228.tex,0,25,2,5,0,FAILED
2024_emnlp-main_260.tex,0,24,2,4,0,FAILED
2024_emnlp-main_293.tex,1,31,1,11,0,FAILED
2024_emnlp-main_302.tex,211,79,1,270,2,TIMEOUT
2024_emnlp-main_324.tex,201,38,1,217,2,FAILED
2024_emnlp-main_336.tex,47,79,1,105,60,FAILED
2024_emnlp-main_339.tex,270,101,1,357,2,FAILED
2024_emnlp-main_362.tex,0,24,1,2,0,FAILED
2024_emnlp-main_431.tex,14,124,8,151,2,FAILED
2024_emnlp-main_445.tex,0,124,1,102,0,FAILED
2024_emnlp-main_508.tex,48,77,1,105,7,FAILED
2024_emnlp-main_524.tex,0,26,1,5,0,FAILED
2024_emnlp-main_553.tex,305,88,1,371,61,FAILED
2024_emnlp-main_614.tex,48,81,1,110,5,FAILED
2024_emnlp-main_635.tex,36,171,2,263,0,FAILED
2024_emnlp-main_663.tex,48,215,9,251,4,FAILED
2024_emnlp-main_672.tex,48,76,1,102,0,FAILED
2024_emnlp-main_701.tex,149,36,1,163,1,FAILED
2024_emnlp-main_704.tex,0,27,4,15,0,TIMEOUT
2024_emnlp-main_730.tex,175,41,1,194,2,FAILED
2024_emnlp-main_733.tex,149,73,1,210,10,FAILED
2024_emnlp-main_767.tex,191,57,1,205,0,FAILED
2024_emnlp-main_773.tex,166,32,1,176,8,FAILED
2024_emnlp-main_830.tex,45,81,2,111,3,FAILED
2024_emnlp-main_831.tex,0,24,2,4,0,FAILED
2024_emnlp-main_869.tex,0,25,1,2,0,TIMEOUT
2024_emnlp-main_882.tex,2,32,1,11,0,FAILED
2024_emnlp-main_888.tex,393,173,1,544,11,FAILED
2024_emnlp-main_915.tex,54,81,1,113,10,FAILED
2024_emnlp-main_924.tex,1,24,1,2,0,FAILED
2024_emnlp-main_942.tex,25,86,125,246,0,FAILED
2024_emnlp-main_991.tex,5,31,1,67,2,FAILED
2024_emnlp-main_1022.tex,48,78,2,109,2,FAILED
2024_emnlp-main_238.tex,48,78,1,104,1,FAILED
T5ModelsForAfricanLanguages.tex,53,78,1,113,6,FAILED
2023_emnlp-main_118.tex,154,41,1,175,2,FAILED
EstablishingTrustworthiness.tex,1,32,1,15,1,FAILED
